game_id,date,season,season_type,matchup,is_home,opponent,knicks_score,opponent_score,point_diff,won,rest_days
0028300008,1983-10-28,1983,Regular Season,NYK @ CLE,0,CLE,121,,,1,
0028300011,1983-10-29,1983,Regular Season,NYK vs. WAS,1,WAS,100,,,1,1.0
0028300034,1983-11-02,1983,Regular Season,NYK @ SEA,0,SEA,119,,,0,4.0
0028300046,1983-11-04,1983,Regular Season,NYK @ POR,0,POR,97,,,0,2.0
0028300048,1983-11-05,1983,Regular Season,NYK @ GOS,0,GOS,100,,,0,1.0
0028300062,1983-11-08,1983,Regular Season,NYK vs. MIL,1,MIL,90,,,0,3.0
0028300077,1983-11-10,1983,Regular Season,NYK @ IND,0,IND,99,,,1,2.0
0028300078,1983-11-11,1983,Regular Season,NYK vs. SDC,1,SDC,116,,,1,1.0
0028300105,1983-11-15,1983,Regular Season,NYK vs. IND,1,IND,94,,,1,4.0
0028300109,1983-11-16,1983,Regular Season,NYK @ PHL,0,PHL,97,,,0,1.0
0028300122,1983-11-18,1983,Regular Season,NYK @ BOS,0,BOS,110,,,1,2.0
0028300123,1983-11-19,1983,Regular Season,NYK vs. DET,1,DET,104,,,1,1.0
0028300140,1983-11-22,1983,Regular Season,NYK vs. BOS,1,BOS,117,,,1,3.0
0028300167,1983-11-26,1983,Regular Season,NYK vs. CLE,1,CLE,113,,,1,4.0
0028300171,1983-11-27,1983,Regular Season,NYK @ IND,0,IND,91,,,0,1.0
0028300180,1983-11-29,1983,Regular Season,NYK vs. SAN,1,SAN,118,,,1,2.0
0028300183,1983-11-30,1983,Regular Season,NYK @ NJN,0,NJN,113,,,1,1.0
0028300191,1983-12-01,1983,Regular Season,NYK vs. WAS,1,WAS,127,,,1,1.0
0028300202,1983-12-03,1983,Regular Season,NYK vs. HOU,1,HOU,117,,,1,2.0
0028300215,1983-12-06,1983,Regular Season,NYK vs. DEN,1,DEN,112,,,0,3.0
0028300230,1983-12-08,1983,Regular Season,NYK @ PHX,0,PHX,97,,,0,2.0
0028300233,1983-12-09,1983,Regular Season,NYK @ SDC,0,SDC,111,,,1,1.0
0028300248,1983-12-11,1983,Regular Season,NYK @ LAL,0,LAL,109,,,1,2.0
0028300259,1983-12-13,1983,Regular Season,NYK vs. BOS,1,BOS,100,,,0,2.0
0028300268,1983-12-15,1983,Regular Season,NYK vs. CHI,1,CHI,107,,,0,2.0
0028300284,1983-12-17,1983,Regular Season,NYK vs. MIL,1,MIL,102,,,1,2.0
0028300313,1983-12-23,1983,Regular Season,NYK @ ATL,0,ATL,113,,,0,6.0
0028300317,1983-12-25,1983,Regular Season,NYK vs. NJN,1,NJN,112,,,1,2.0
0028300324,1983-12-27,1983,Regular Season,NYK @ CHI,0,CHI,96,,,0,2.0
0028300332,1983-12-28,1983,Regular Season,NYK vs. DET,1,DET,108,,,0,1.0
0028300341,1983-12-30,1983,Regular Season,NYK @ WAS,0,WAS,86,,,0,2.0
0028300362,1984-01-03,1983,Regular Season,NYK vs. LAL,1,LAL,117,,,1,4.0
0028300380,1984-01-06,1983,Regular Season,NYK @ DET,0,DET,107,,,0,3.0
0028300387,1984-01-07,1983,Regular Season,NYK vs. IND,1,IND,140,,,1,1.0
0028300394,1984-01-09,1983,Regular Season,NYK vs. PHL,1,PHL,111,,,1,2.0
0028300414,1984-01-13,1983,Regular Season,NYK @ MIL,0,MIL,101,,,0,4.0
0028300426,1984-01-14,1983,Regular Season,NYK @ CHI,0,CHI,113,,,1,1.0
0028300441,1984-01-17,1983,Regular Season,NYK vs. NJN,1,NJN,115,,,0,3.0
0028300453,1984-01-19,1983,Regular Season,NYK vs. CHI,1,CHI,109,,,1,2.0
0028300469,1984-01-21,1983,Regular Season,NYK vs. ATL,1,ATL,95,,,0,2.0
0028300474,1984-01-24,1983,Regular Season,NYK vs. PHL,1,PHL,111,,,1,3.0
0028300490,1984-01-26,1983,Regular Season,NYK @ WAS,0,WAS,104,,,1,2.0
0028300501,1984-01-31,1983,Regular Season,NYK @ SAN,0,SAN,117,,,1,5.0
0028300507,1984-02-01,1983,Regular Season,NYK @ DAL,0,DAL,105,,,1,1.0
0028300532,1984-02-04,1983,Regular Season,NYK @ HOU,0,HOU,103,,,1,3.0
0028300538,1984-02-06,1983,Regular Season,NYK vs. GOS,1,GOS,116,,,1,2.0
0028300554,1984-02-08,1983,Regular Season,NYK @ MIL,0,MIL,103,,,0,2.0
0028300568,1984-02-10,1983,Regular Season,NYK @ UTH,0,UTH,133,,,1,2.0
0028300571,1984-02-11,1983,Regular Season,NYK @ DEN,0,DEN,138,,,1,1.0
0028300586,1984-02-14,1983,Regular Season,NYK @ KCK,0,KCK,106,,,1,3.0
0028300598,1984-02-16,1983,Regular Season,NYK vs. IND,1,IND,100,,,1,2.0
0028300606,1984-02-18,1983,Regular Season,NYK vs. NJN,1,NJN,112,,,1,2.0
0028300615,1984-02-19,1983,Regular Season,NYK @ PHL,0,PHL,97,,,0,1.0
0028300625,1984-02-21,1983,Regular Season,NYK vs. POR,1,POR,89,,,0,2.0
0028300634,1984-02-22,1983,Regular Season,NYK @ DET,0,DET,111,,,0,1.0
0028300641,1984-02-24,1983,Regular Season,NYK @ ATL,0,ATL,104,,,0,2.0
0028300653,1984-02-25,1983,Regular Season,NYK @ NJN,0,NJN,104,,,0,1.0
0028300660,1984-02-27,1983,Regular Season,NYK vs. ATL,1,ATL,96,,,1,2.0
0028300676,1984-02-29,1983,Regular Season,NYK @ BOS,0,BOS,102,,,1,2.0
